question,answer,category,source,type
هل يوجد تخصص الأمن السيبراني؟,نعم، يوجد هذا التخصص ضمن كلية علوم الحاسب وتقنية المعلومات في جامعة جدة.,التخصصات,University of Jeddah,faq
هل يوجد تخصص علوم البيانات؟,نعم، يوجد هذا التخصص ضمن كلية علوم الحاسب وتقنية المعلومات في جامعة جدة.,التخصصات,University of Jeddah,faq
هل تقدم جامعة جدة برامج دبلوم؟,نعم، تقدم جامعة جدة برامج دبلوم تطبيقية في عدة مجالات.,الدبلومات,University of Jeddah,faq
ما هي تخصصات الدبلومات؟,تشمل البرمجة، الأمن السيبراني، الموارد البشرية، المحاسبة، والتسويق.,الدبلومات,University of Jeddah,faq
من الفئة المستهدفة للدبلومات؟,خريجو الثانوية العامة للمسارين العلمي والإنساني.,الدبلومات,University of Jeddah,faq
ما هي السنة التأهيلية؟,برنامج مدفوع الرسوم للطلاب الذين لم يحققوا النسبة المطلوبة للقبول المباشر.,السنة التأهيلية,University of Jeddah,faq
كم رسوم السنة التأهيلية؟,18000 ريال للسنة الدراسية.,السنة التأهيلية,University of Jeddah,faq
كم مدة السنة التأهيلية؟,عام دراسي واحد.,السنة التأهيلية,University of Jeddah,faq
هل يمكن الالتحاق بالجامعة بعد السنة التأهيلية؟,نعم، بعد تحقيق الشروط والمعايير المطلوبة.,السنة التأهيلية,University of Jeddah,faq
هل السنة التأهيلية مدفوعة؟,نعم، السنة التأهيلية في جامعة جدة برنامج مدفوع الرسوم.,السنة التأهيلية,University of Jeddah,faq
كم عدد كليات جامعة جدة؟,تضم جامعة جدة 17 كلية.,إحصائيات الجامعة,University of Jeddah,faq
كم عدد العمادات في جامعة جدة؟,يوجد في جامعة جدة 5 عمادات.,إحصائيات الجامعة,University of Jeddah,faq
كم عدد الإدارات في جامعة جدة؟,يوجد في جامعة جدة 21 إدارة.,إحصائيات الجامعة,University of Jeddah,faq
كم عدد البرامج الأكاديمية في جامعة جدة؟,تقدم جامعة جدة 125 برنامج أكاديمي.,إحصائيات الجامعة,University of Jeddah,faq
كم عدد برامج البكالوريوس في جامعة جدة؟,يوجد 56 برنامج بكالوريوس في جامعة جدة.,إحصائيات الجامعة,University of Jeddah,faq
كم عدد برامج الدراسات العليا في جامعة جدة؟,يوجد 38 برنامج دراسات عليا في جامعة جدة.,إحصائيات الجامعة,University of Jeddah,faq
كم عدد برامج الدبلوم في جامعة جدة؟,يوجد 14 برنامج دبلوم في جامعة جدة.,إحصائيات الجامعة,University of Jeddah,faq
كم عدد الطلاب في جامعة جدة؟,يبلغ عدد الطلاب 11107 طالب.,إحصائيات الجامعة,University of Jeddah,faq
كم عدد الطالبات في جامعة جدة؟,يبلغ عدد الطالبات 18725 طالبة.,إحصائيات الجامعة,University of Jeddah,faq
كم إجمالي عدد الطلاب والطالبات في جامعة جدة؟,إجمالي عدد الطلاب والطالبات في جامعة جدة هو 29832.,إحصائيات الجامعة,University of Jeddah,faq
كم عدد أعضاء الهيئة التعليمية في جامعة جدة؟,يوجد 2237 عضو هيئة تعليمية في جامعة جدة.,إحصائيات الجامعة,University of Jeddah,faq
كم عدد أعضاء الهيئة الإدارية في جامعة جدة؟,يوجد 1494 عضو هيئة إدارية في جامعة جدة.,إحصائيات الجامعة,University of Jeddah,faq
كم عدد الخريجين من جامعة جدة؟,بلغ عدد خريجي جامعة جدة 35975 خريج.,إحصائيات الجامعة,University of Jeddah,faq
ما هي الكليات العلمية في جامعة جدة؟,تشمل الكليات العلمية: كلية علوم وهندسة الحاسب، كلية الهندسة، كلية العلوم، كلية علوم الرياضة، وكلية الحاسبات وتقنية المعلومات بخليص والكامل.,الكليات,University of Jeddah,faq
ما هي الكليات الصحية في جامعة جدة؟,تشمل الكليات الصحية: كلية الطب، وكلية العلوم الطبية التطبيقية.,الكليات,University of Jeddah,faq
ما هي الكليات الإدارية والاقتصادية في جامعة جدة؟,تشمل كلية الأعمال، كلية الأعمال بالكامل، وكلية الأعمال بخليص.,الكليات,University of Jeddah,faq
ما هي الكليات الإنسانية في جامعة جدة؟,تشمل كلية العلوم الاجتماعية والإعلام، كلية التصاميم والفنون، كلية التربية، كلية اللغات والترجمة، وكلية الشريعة والقانون.,الكليات,University of Jeddah,faq
ما هي الكليات التطبيقية في جامعة جدة؟,تشمل الكلية التطبيقية، فرع الكلية التطبيقية بالكامل، وفرع الكلية التطبيقية بخليص.,الكليات,University of Jeddah,faq
ما تخصصات كلية علوم وهندسة الحاسب؟,تشمل هندسة الحاسب والشبكات، الذكاء الاصطناعي، علوم الحاسب، الأمن السيبراني، علوم البيانات، وهندسة البرمجيات.,التخصصات,University of Jeddah,faq
ما تخصصات كلية الطب؟,تقدم كلية الطب تخصص الطب والجراحة.,التخصصات,University of Jeddah,faq
ما تخصصات كلية العلوم الطبية التطبيقية؟,تشمل تقنية الأشعة ودكتور بصريات.,التخصصات,University of Jeddah,faq
ما تخصصات كلية الهندسة؟,تشمل الهندسة الكهربائية والإلكترونية، الهندسة الصناعية والنظم، الهندسة المدنية، والهندسة الميكانيكية.,التخصصات,University of Jeddah,faq
ما تخصصات كلية العلوم؟,تشمل الكيمياء الحيوية التطبيقية، علوم البيئة، الرياضيات، الكيمياء، الكيمياء الصناعية، الأحياء، والفيزياء.,التخصصات,University of Jeddah,faq
ما تخصصات كلية الأعمال؟,تشمل المحاسبة، إدارة الأعمال، المالية والاقتصاد، إدارة الموارد البشرية، إدارة سلسلة الإمداد، إدارة نظم المعلومات، والتسويق.,التخصصات,University of Jeddah,faq
ما تخصصات كلية الشريعة والقانون؟,تشمل القانون، القراءات، الشريعة والدراسات الإسلامية، والتفسير وعلوم القرآن.,التخصصات,University of Jeddah,faq
ما تخصصات كلية العلوم الاجتماعية والإعلام؟,تشمل علم النفس والإعلام الرقمي.,التخصصات,University of Jeddah,faq
ما تخصصات كلية اللغات والترجمة؟,تشمل الترجمة، اللغة الصينية، واللغة الإنجليزية.,التخصصات,University of Jeddah,faq
ما تخصصات كلية التصاميم والفنون؟,تشمل الرسم والفنون، تصميم الأزياء، تصميم الجرافيك، والتصميم الداخلي.,التخصصات,University of Jeddah,faq
ما تخصصات كلية علوم الرياضة؟,تشمل التدريب الرياضي، الإدارة الرياضية، واللياقة البدنية.,التخصصات,University of Jeddah,faq
ما تخصص كلية الحاسبات وتقنية المعلومات بخليص والكامل؟,تقدم تخصص تقنية المعلومات.,التخصصات,University of Jeddah,faq
ما هو البريد الإلكتروني لإدارة المخاطر بجامعة جدة؟,البريد الإلكتروني هو risk@uj.edu.sa,التواصل,University of Jeddah,faq
ما رقم هاتف إدارة المخاطر بجامعة جدة؟,رقم الهاتف هو 0122334444 تحويلة 34333.,التواصل,University of Jeddah,faq
ما رقم الواتساب الخاص بإدارة المخاطر بجامعة جدة؟,رقم الواتساب هو +966122334443,التواصل,University of Jeddah,faq
ما هي منصة الدعم الفني لجامعة جدة؟,منصة الدعم الفني هي https://hayyak.uj.edu.sa,الدعم الفني,University of Jeddah,faq
كيفية استخراج الإفادة لتقديمها إلى من يهمه الامر؟,حياك .. يتم استخراج الإفادة من صفحة الطالب - الوثائق الرقمية,general,https://www.uj.edu.sa/ar/%D8%A7%D9%84%D8%A3%D8%B3%D8%A6%D9%84%D8%A9-%D8%A7%D9%84%D8%B4%D8%A7%D8%A6%D8%B9%D8%A9,faq
هل يوجد تجسير في جامعة جدة ؟,حياك .. لا يوجد برنامج تجسير حالياً وسيتاح قريبا,general,https://www.uj.edu.sa/ar/%D8%A7%D9%84%D8%A3%D8%B3%D8%A6%D9%84%D8%A9-%D8%A7%D9%84%D8%B4%D8%A7%D8%A6%D8%B9%D8%A9,faq
ماهي شروط مراتب الشرف؟,حياك .. أن لا يكون الطالب قد رسب في أي مقرر درسه في الجامعة او جامعة أخرى ولا حصل على حرمان في أي مادة . وأن يكون الطالب قد أكمل متطلبات التخرج في مدة أقصاها متوسط المدة بين الحد الأدنى والأحد الأقصى للبقاء في الكلية . وأن يكون الطالب قد درس في الجامعة مالا يقل عن 60% من متطلبات التخرج.,general,https://www.uj.edu.sa/ar/%D8%A7%D9%84%D8%A3%D8%B3%D8%A6%D9%84%D8%A9-%D8%A7%D9%84%D8%B4%D8%A7%D8%A6%D8%B9%D8%A9,faq
كيفية التقديم على خدمة وثيقتي وإخلاء الطرف الالكتروني ؟,حياك .. يتم التقديم عليها من صفحة الطالب بعد التأكد من انهاء جميع متطلبات التخرج,general,https://www.uj.edu.sa/ar/%D8%A7%D9%84%D8%A3%D8%B3%D8%A6%D9%84%D8%A9-%D8%A7%D9%84%D8%B4%D8%A7%D8%A6%D8%B9%D8%A9,faq
ماهي مواعيد استلام وثائق التخرج ؟,حياك .. يتم الإعلان عن موعد استلام الوثائق في حساب الجامعة وكما هو موضح في التقويم الأكاديمي .,general,https://www.uj.edu.sa/ar/%D8%A7%D9%84%D8%A3%D8%B3%D8%A6%D9%84%D8%A9-%D8%A7%D9%84%D8%B4%D8%A7%D8%A6%D8%B9%D8%A9,faq
هل يوجد قبول الترم الثاني؟,حياك .. القبول سنوي في جامعة جدة,general,https://www.uj.edu.sa/ar/%D8%A7%D9%84%D8%A3%D8%B3%D8%A6%D9%84%D8%A9-%D8%A7%D9%84%D8%B4%D8%A7%D8%A6%D8%B9%D8%A9,faq
كيف يمكن تعديل الاسم في الوثيقة؟,حياك .. عن طريق خدمة وثيقتي عند التقديم عليها أو من خلال مراجعة وحدة الخريجين .,general,https://www.uj.edu.sa/ar/%D8%A7%D9%84%D8%A3%D8%B3%D8%A6%D9%84%D8%A9-%D8%A7%D9%84%D8%B4%D8%A7%D8%A6%D8%B9%D8%A9,faq
هل يمكن توكيل شخص لاستلام الوثيقة نيابةً عني؟,حياك .. نعم بشرط إحضار وكالة رسمية أو عن طريق البريد الالكتروني Darg-feedback@uj.edu.sa,general,https://www.uj.edu.sa/ar/%D8%A7%D9%84%D8%A3%D8%B3%D8%A6%D9%84%D8%A9-%D8%A7%D9%84%D8%B4%D8%A7%D8%A6%D8%B9%D8%A9,faq
كيف يمكن الحصول على وثيقة التخرج ؟,حياك .. بعد إنهاء جميع متطلبات التخرج واعتماد النتائج وإغلاق الفصل يمكنك مراجعة وحدة الخريجين بعمادة القبول والتسجيل واستلام وثيقة التخرج .,general,https://www.uj.edu.sa/ar/%D8%A7%D9%84%D8%A3%D8%B3%D8%A6%D9%84%D8%A9-%D8%A7%D9%84%D8%B4%D8%A7%D8%A6%D8%B9%D8%A9,faq
هل يوجد دبلوم مدفوع ؟,حياك ... لا يوجد.,general,https://www.uj.edu.sa/ar/%D8%A7%D9%84%D8%A3%D8%B3%D8%A6%D9%84%D8%A9-%D8%A7%D9%84%D8%B4%D8%A7%D8%A6%D8%B9%D8%A9,faq
تم سحب الملف بالخطأ كيف يمكن الرجوع للجامعة؟,حياك .. يتم مراجعة الكلية وطلب إعادة قيد في مدة أقصاها سنة من تاريخ السحب.,general,https://www.uj.edu.sa/ar/%D8%A7%D9%84%D8%A3%D8%B3%D8%A6%D9%84%D8%A9-%D8%A7%D9%84%D8%B4%D8%A7%D8%A6%D8%B9%D8%A9,faq
كيف يتم الاعتذار ؟,حياك .. يتم عن طريق تقديم الطلب من خلال الخدمات الذاتية الخاصة بالطالب,general,https://www.uj.edu.sa/ar/%D8%A7%D9%84%D8%A3%D8%B3%D8%A6%D9%84%D8%A9-%D8%A7%D9%84%D8%B4%D8%A7%D8%A6%D8%B9%D8%A9,faq
كيفية التقديم على الاختبار البديل ؟,حياك .. يتم عن طريق تقديم الطلب من خلال الخدمات الذاتية الخاصة بالطالب,general,https://www.uj.edu.sa/ar/%D8%A7%D9%84%D8%A3%D8%B3%D8%A6%D9%84%D8%A9-%D8%A7%D9%84%D8%B4%D8%A7%D8%A6%D8%B9%D8%A9,faq
أرغب بالتحويل الخارجي الى جامعة جدة ماهي الشروط؟,حياك ... يتم الإعلان عن مواعيد وشروط التحويل سنوياً على موقع العمادة وكذلك على منصة X,general,https://www.uj.edu.sa/ar/%D8%A7%D9%84%D8%A3%D8%B3%D8%A6%D9%84%D8%A9-%D8%A7%D9%84%D8%B4%D8%A7%D8%A6%D8%B9%D8%A9,faq
هل سيتاح التقديم على برامج القبول عن طريق بوابة القبول الخاصة بجامعة جدة؟,حياك .. القبول لجميع برامج الدبلوم والبكالوريوس عن طريق منصة القبول الموحد فقط ، عبر الرابط : https://www.uap.sa/login,general,https://www.uj.edu.sa/ar/%D8%A7%D9%84%D8%A3%D8%B3%D8%A6%D9%84%D8%A9-%D8%A7%D9%84%D8%B4%D8%A7%D8%A6%D8%B9%D8%A9,faq
هل سيتاح التقديم على برامج القبول عن طريق بوابة القبول الخاصة بجامعة جدة؟,حياك .. القبول لجميع برامج الدبلوم والبكالوريوس عن طريق منصة القبول الموحد فقط، عبر الرابط : https://www.uap.sa/login,general,https://www.uj.edu.sa/ar/%D8%A7%D9%84%D8%A3%D8%B3%D8%A6%D9%84%D8%A9-%D8%A7%D9%84%D8%B4%D8%A7%D8%A6%D8%B9%D8%A9,faq
أين يقع مركز الإرشاد الجامعي؟,حياك .. يقع في جامعة جدة بالمقر الرئيسي لشطر الطالبات في الفيصلية / مبنى ١٤ الدور الثاني مكتب (٢٢٣-٢٢٤-٢٢٦-٢٢٧).,general,https://www.uj.edu.sa/ar/%D8%A7%D9%84%D8%A3%D8%B3%D8%A6%D9%84%D8%A9-%D8%A7%D9%84%D8%B4%D8%A7%D8%A6%D8%B9%D8%A9,faq
هل يؤثر تأخر تسجيل الرسالة على استحقاق المكافأة لطالبة الدراسات العليا؟,حياك .. نعم، فيشترط تسجيل الجدول الدراسي للحصول على المكافأة.,general,https://www.uj.edu.sa/ar/%D8%A7%D9%84%D8%A3%D8%B3%D8%A6%D9%84%D8%A9-%D8%A7%D9%84%D8%B4%D8%A7%D8%A6%D8%B9%D8%A9,faq
هل يلزمني التقديم للحصول على بدلات دراسات عليا؟,حياك .. نعم، ويتم ذلك من خلال الكلية وذلك بإرفاق نموذج صرف بدل كتب ومراجع وكشف الدرجات لطلب بدل كتب ومراجع، نموذج بدل طباعة رسالة وكشف الدرجات وتقرير ممثل عمادة الدراسات العليا لطلب بدل الطباعة.,general,https://www.uj.edu.sa/ar/%D8%A7%D9%84%D8%A3%D8%B3%D8%A6%D9%84%D8%A9-%D8%A7%D9%84%D8%B4%D8%A7%D8%A6%D8%B9%D8%A9,faq
هل الاعتذار أو التأجيل يؤثر على الحصول على بدل الكتب والمراجع؟,حياك .. نعم، يشترط لصرف بدل الكتب والمراجع أن تكون الطالبة مستحقة للمكافأة.,general,https://www.uj.edu.sa/ar/%D8%A7%D9%84%D8%A3%D8%B3%D8%A6%D9%84%D8%A9-%D8%A7%D9%84%D8%B4%D8%A7%D8%A6%D8%B9%D8%A9,faq
هل يحتاج التقديم للحصول على مكافأة طالبة دراسات عليا؟,حياك .. نعم، وذلك بإرفاق نموذج طلب صرف مكافأة طالب دراسات عليا بعد تعبئته وإرفاق إفادة من الأحوال أو أبشر تفيد بأن المهنة طالبة ، وصورة من الهوية والبطاقة الجامعية ، كما يشترط عدم كون الطالبة موظفة أو مسجلة في التأمينات الاجتماعية.,general,https://www.uj.edu.sa/ar/%D8%A7%D9%84%D8%A3%D8%B3%D8%A6%D9%84%D8%A9-%D8%A7%D9%84%D8%B4%D8%A7%D8%A6%D8%B9%D8%A9,faq
هل تصرف مكافأة تفوق لطالبات الماجستير؟,حياك .. لا تصرف ، مكافأة التفوق فقط لطالبات البكالوريوس المستحقات نظاماً لها.,general,https://www.uj.edu.sa/ar/%D8%A7%D9%84%D8%A3%D8%B3%D8%A6%D9%84%D8%A9-%D8%A7%D9%84%D8%B4%D8%A7%D8%A6%D8%B9%D8%A9,faq
عند الحصول على شهادة تفوق فهذا يعني استحقاقي لمكافأة التفوق مباشرة؟,حياك .. لا ، وذلك لأن الطالبة تستحق شهادة التفوق حتى بعد انتهاء المدة النظامية لصرف المكافأة بخلاف مكافأة التفوق التي يشترط الحصول عليها أن تكون ضمن المدة النظامية لصرف المكافأة.,general,https://www.uj.edu.sa/ar/%D8%A7%D9%84%D8%A3%D8%B3%D8%A6%D9%84%D8%A9-%D8%A7%D9%84%D8%B4%D8%A7%D8%A6%D8%B9%D8%A9,faq
هل يحسب الفصل الصيفي في مكافأة التفوق؟,حياك .. لا يحسب الفصل الصيفي في مكافأة التفوق .,general,https://www.uj.edu.sa/ar/%D8%A7%D9%84%D8%A3%D8%B3%D8%A6%D9%84%D8%A9-%D8%A7%D9%84%D8%B4%D8%A7%D8%A6%D8%B9%D8%A9,faq
هل يحتاج التقديم للحصول على مكافأة التفوق؟,حياك .. لا يحتاج ذلك ، حيث أن المكافأة تودع آليا في حساب الطالبة المستحقة.,general,https://www.uj.edu.sa/ar/%D8%A7%D9%84%D8%A3%D8%B3%D8%A6%D9%84%D8%A9-%D8%A7%D9%84%D8%B4%D8%A7%D8%A6%D8%B9%D8%A9,faq
تأخر تسجيل جدولي هل سيؤثر على استلامي للمكافأة؟,حياك .. نعم تتوقف المكافأة حتى تسجيل الجدول الدراسي الخاص بكم.,general,https://www.uj.edu.sa/ar/%D8%A7%D9%84%D8%A3%D8%B3%D8%A6%D9%84%D8%A9-%D8%A7%D9%84%D8%B4%D8%A7%D8%A6%D8%B9%D8%A9,faq
هل يمكن استرداد المبلغ المخصوم لصندوق الطالب في حالة انقطاع المكافأة؟,حياك .. لا، لا يحق للطالب أو الطالبة استرداد المبلغ المخصوم لصندوق الطالب.,general,https://www.uj.edu.sa/ar/%D8%A7%D9%84%D8%A3%D8%B3%D8%A6%D9%84%D8%A9-%D8%A7%D9%84%D8%B4%D8%A7%D8%A6%D8%B9%D8%A9,faq
هل تنقطع المكافأة خلال الاعتذار أو التأجيل وهل سأعوض عنها؟,حياك .. نعم تنقطع المكافأة ولايتم التعويض عنها في حال الاعتذار، ويتم التعويض عن فصل التأجيل بفصل إضافي.,general,https://www.uj.edu.sa/ar/%D8%A7%D9%84%D8%A3%D8%B3%D8%A6%D9%84%D8%A9-%D8%A7%D9%84%D8%B4%D8%A7%D8%A6%D8%B9%D8%A9,faq
هل يجب إضافة حساب شخصي للحصول على المكافأة؟,حياك .. يجب على الطالبة إضافة حساب شخصي جاري في البنك الأهلي السعودي خاص بالطالبة في نظام الأوديس.,general,https://www.uj.edu.sa/ar/%D8%A7%D9%84%D8%A3%D8%B3%D8%A6%D9%84%D8%A9-%D8%A7%D9%84%D8%B4%D8%A7%D8%A6%D8%B9%D8%A9,faq
ما هي الدورات وورش العمل التي يقدمها مركز الإرشاد الجامعي؟,يقيم مركز الإرشاد الجامعي عددًا من الدورات وورش العمل التخصصية، ويتم الإعلان عنها عبر الشاشات الإلكترونية داخل الجامعة، وحساب عمادة شؤون الطلاب عبر منصة x . يسعى المركز أيضًا لنشر الثقافة النفسية للحد من الضغوط والوقاية من الاضطرابات والتعامل معها بشكل إيجابي من خلال البرامج، واللقاءات، والندوات، والدورات التدريبية. كما يهتم المركز بتبني الهوايات وصقل المواهب ورعاية القيادات، ويعمل على مساعدة الطالبات على التكيف مع الحياة الجامعية ورعايتهن ماديًا واجتماعيًا وأسريًا. هدفنا أيضًا هو تنمية اتجاهات الطالبات الإيجابية نحو أنفسهن ونحو مجتمعهن.,general,https://www.uj.edu.sa/ar/%D8%A7%D9%84%D8%A3%D8%B3%D8%A6%D9%84%D8%A9-%D8%A7%D9%84%D8%B4%D8%A7%D8%A6%D8%B9%D8%A9,faq
هل يمكنني معرفة أهداف المركز؟,حياك .. يقدم المركز عدد من الخدمات منها تقديم الخدمات الإرشادية لمساعدة الطالبة الجامعية لتحقيق التوافق الشخصي والإجتماعي والأسري والأكاديمي، تقديم الاستشارات النفسية والإجتماعية والأسرية والأكاديمية من خلال استشاريات متخصصات.,general,https://www.uj.edu.sa/ar/%D8%A7%D9%84%D8%A3%D8%B3%D8%A6%D9%84%D8%A9-%D8%A7%D9%84%D8%B4%D8%A7%D8%A6%D8%B9%D8%A9,faq
كيف يمكن رفع شكوى أو مقترح للإدارة العامة للموارد البشرية؟,حياك .. كل ما يتعلق بطلبات الموظفين والاستفسارات أوالشكاوى يكون من خلال البريد الإلكتروني لإدارة التواصل الداخلي hr.tawasol@uj.edu.sa,general,https://www.uj.edu.sa/ar/%D8%A7%D9%84%D8%A3%D8%B3%D8%A6%D9%84%D8%A9-%D8%A7%D9%84%D8%B4%D8%A7%D8%A6%D8%B9%D8%A9,faq
هل هناك أهداف تخص مسميات معينة تختلف عن بعضها؟,حياك .. بالنسبة لمواثيق الأداء الوظيفي للموظفين، هناك تعاميم خاصة بمواعيد ورفع الأهداف وتتكون من مراحل تذكر جميعها في التعميم المرسل وكل مرحلة تلتزم بتاريخ بدء وانتهاء معين.,general,https://www.uj.edu.sa/ar/%D8%A7%D9%84%D8%A3%D8%B3%D8%A6%D9%84%D8%A9-%D8%A7%D9%84%D8%B4%D8%A7%D8%A6%D8%B9%D8%A9,faq
متى يتم التقديم على الوظائف لديكم؟,حياك .. في حال توفر وظائف سيتم الإعلان عن ذلك عبر منصات التواصل الاجتماعي للجامعة وموقع الجامعة الرسمي وستذكر كافة الشروط وكافة المعلومات الخاصة بها.,general,https://www.uj.edu.sa/ar/%D8%A7%D9%84%D8%A3%D8%B3%D8%A6%D9%84%D8%A9-%D8%A7%D9%84%D8%B4%D8%A7%D8%A6%D8%B9%D8%A9,faq
هل يوجد وظائف شاغرة؟,حياك .. في حال توفر وظائف سيتم الإعلان عن ذلك عبر منصات التواصل الاجتماعي للجامعة وموقع الجامعة الرسمي وستذكر الشروط وكافة المعلومات الخاصة بها.,general,https://www.uj.edu.sa/ar/%D8%A7%D9%84%D8%A3%D8%B3%D8%A6%D9%84%D8%A9-%D8%A7%D9%84%D8%B4%D8%A7%D8%A6%D8%B9%D8%A9,faq
هل متوفر وظائف سواءً بعقود او على بند؟,حياك .. في حال توفر وظائف سيتم الإعلان عن ذلك عبر منصات التواصل الاجتماعي للجامعة وموقع الجامعة الرسمي وستذكر الشروط وكافة المعلومات الخاصة بها.,general,https://www.uj.edu.sa/ar/%D8%A7%D9%84%D8%A3%D8%B3%D8%A6%D9%84%D8%A9-%D8%A7%D9%84%D8%B4%D8%A7%D8%A6%D8%B9%D8%A9,faq
